"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"138",0,4,1,0,3,1,3,5,0,5
"139",0,3,0,0,2,0,1,6,0,8
"140",0,1,0,0,0,0,0,3,1,5
"141",0,5,0,0,2,0,0,6,1,11
"142",0,2,0,0,3,0,0,6,0,8
"143",0,3,0,0,2,0,1,4,0,8
"144",0,2,0,0,0,0,0,4,0,5
"145",0,2,0,0,0,0,1,3,1,3
"146",0,3,0,0,2,0,0,2,0,5
"147",0,2,0,0,0,0,0,1,0,3
"148",0,3,0,0,3,0,0,6,0,7
"149",0,2,0,0,1,0,1,1,0,3
"150",0,2,0,1,0,0,0,5,0,6
"151",0,1,0,0,0,0,0,5,0,3
"152",0,2,0,0,0,0,0,2,0,5
"153",0,1,0,1,1,0,0,3,0,5
"154",0,1,0,0,0,0,0,3,0,4
"155",0,2,0,0,2,0,0,4,0,7
"156",0,2,0,0,1,0,1,5,0,6
"157",0,2,0,0,1,0,0,2,0,6
"158",0,2,0,0,0,0,0,3,0,2
"159",0,2,0,0,1,0,0,4,0,5
"160",0,2,0,0,1,0,1,4,0,5
"161",0,1,0,0,0,0,0,4,0,7
"162",0,4,0,0,1,1,0,3,1,5
"163",0,4,0,0,2,0,1,3,1,8
"164",0,2,0,0,2,0,1,5,0,4
"165",0,3,0,0,2,0,1,5,0,7
"166",0,3,0,0,2,0,1,5,0,7
"167",0,2,0,0,1,0,0,4,0,4
"168",0,3,0,0,0,0,0,2,0,4
"169",0,4,0,0,3,0,1,3,0,5
"170",0,5,0,0,3,0,1,5,0,6
"171",0,1,0,0,0,0,0,2,0,3
"172",0,3,0,0,0,0,0,1,1,7
"173",0,1,0,0,0,0,0,8,0,5
"174",0,1,0,1,0,0,1,1,1,4
"175",0,3,0,1,1,0,1,6,3,8
"176",0,2,0,0,1,0,0,4,0,4
"177",0,1,0,0,0,0,0,3,0,2
"178",0,1,0,0,0,0,0,3,0,2
"179",0,2,0,0,1,0,1,4,0,3
"180",0,3,0,0,1,0,0,4,0,3
"181",0,3,1,0,2,1,2,5,0,4
"182",0,2,0,0,1,0,0,5,2,6
"183",0,3,0,0,1,0,0,5,0,9
"184",0,4,0,0,5,0,1,5,0,8
