"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"121",0,0,0,1,0,0,0,6,1,6
"122",0,2,0,0,0,0,0,3,0,4
"123",0,2,0,0,0,0,0,4,0,3
"124",0,0,0,0,0,0,0,3,0,5
"125",0,3,0,0,1,0,0,4,0,5
"126",0,0,0,1,0,0,0,6,1,4
"127",1,1,0,1,0,0,0,4,1,5
"128",0,0,0,0,0,0,0,4,0,8
"129",0,2,0,1,1,0,1,5,0,5
"130",0,0,0,0,2,0,0,6,0,7
"131",0,0,0,0,0,0,0,4,0,8
"132",0,2,0,1,1,0,1,6,0,8
"133",0,2,0,1,1,0,1,6,0,8
"134",0,4,0,1,2,0,0,4,0,6
"135",0,2,0,0,1,0,1,2,0,5
"136",0,0,0,0,0,0,0,4,0,8
"137",0,2,0,0,1,0,0,2,0,1
"138",0,3,0,0,0,0,0,3,0,11
"139",0,2,0,0,0,0,0,3,0,10
"140",0,2,0,0,0,0,0,3,0,10
"141",0,0,0,0,0,0,0,3,0,5
"142",0,1,0,0,0,0,0,1,0,0
"143",0,1,0,0,1,0,0,4,0,6
"144",0,0,0,2,0,0,0,1,2,2
"145",0,0,0,0,0,0,0,3,0,5
"146",1,2,0,3,1,0,0,6,1,7
"147",0,2,0,0,0,0,0,2,0,5
"148",0,2,0,0,0,0,0,2,0,5
"149",0,3,0,2,0,1,0,3,2,5
"150",0,3,0,2,0,1,0,3,2,5
"151",0,3,0,0,2,0,1,7,0,9
"152",0,1,0,1,0,0,0,3,0,6
"153",0,1,0,1,1,1,0,3,0,5
"154",1,2,0,2,1,0,0,6,1,8
"155",0,0,0,0,0,0,0,3,0,4
"156",0,2,0,1,0,1,0,1,0,6
"157",0,2,0,0,2,0,1,4,1,6
"158",1,2,1,0,1,0,1,3,1,5
"159",0,2,0,0,0,0,0,2,0,5
"160",0,2,0,0,0,0,0,2,0,5
"161",0,3,0,2,0,1,0,3,2,5
"162",0,3,0,2,0,1,0,3,2,5
"163",0,3,0,2,0,1,0,3,2,5
"164",0,3,0,2,0,1,0,3,2,5
"165",0,3,0,2,0,1,0,3,2,5
"166",0,0,0,1,0,0,0,1,1,5
"167",0,0,0,1,0,0,0,1,1,5
"168",0,3,0,0,1,0,0,4,0,8
"169",0,3,0,2,0,1,0,3,2,5
"170",0,3,0,2,0,1,0,3,2,5
"171",0,3,0,2,0,1,0,3,2,5
"172",0,3,0,2,0,1,0,3,2,5
"173",0,3,0,2,0,1,0,3,2,5
"174",0,3,0,2,0,1,0,3,2,5
"175",0,1,0,0,0,0,0,3,0,5
"176",0,7,0,0,4,0,3,5,0,8
"177",0,2,0,0,0,0,0,3,0,6
"178",0,1,0,0,0,0,0,2,0,4
"179",0,2,0,0,2,0,0,5,0,7
"180",1,4,0,0,1,0,1,5,1,6
"181",0,1,0,0,0,0,0,4,0,6
"182",0,2,0,0,1,0,0,2,0,3
"183",2,5,0,3,2,0,0,3,1,7
"184",0,3,0,1,1,0,0,4,1,5
"185",0,5,0,0,2,0,1,6,0,8
"186",0,3,0,0,0,0,0,5,0,8
"187",0,2,0,1,2,0,0,4,1,8
"188",0,1,0,0,0,0,0,3,0,7
"189",0,3,0,0,1,0,1,4,0,5
"190",1,3,0,1,1,0,1,4,1,6
"191",0,1,0,0,1,0,0,6,0,7
"192",0,0,0,1,1,0,0,2,0,4
"193",0,0,0,0,0,0,0,2,0,3
"194",0,3,0,1,2,0,0,4,0,6
"195",2,2,0,2,0,0,1,4,4,6
"196",0,1,0,1,1,0,0,3,0,8
"197",0,1,0,0,0,0,0,5,0,6
"198",0,2,0,0,2,0,0,6,0,8
"199",0,1,0,2,0,0,0,5,1,7
"200",0,4,0,0,1,0,0,7,2,9
"201",0,0,0,1,0,1,0,1,1,0
"202",0,0,0,0,1,0,0,1,0,2
"203",0,0,0,0,1,0,0,1,0,2
"204",0,1,0,0,0,0,0,4,0,3
"205",0,1,0,0,0,0,0,3,0,4
"206",0,1,0,0,0,0,0,3,0,3
"207",2,6,2,2,4,2,3,5,2,8
"208",0,2,0,0,0,0,0,3,0,5
"209",0,3,0,1,1,0,1,5,0,8
"210",0,0,0,0,0,0,0,1,0,1
"211",0,3,0,0,1,0,1,2,1,2
"212",0,2,0,0,0,0,0,2,0,4
"213",0,1,0,1,2,0,0,6,0,6
"214",0,0,0,0,0,0,0,1,0,2
"215",0,3,0,0,1,0,0,6,0,5
"216",0,1,0,0,1,0,1,4,0,5
"217",1,3,0,2,0,1,0,3,2,6
"218",0,2,0,0,0,0,0,4,0,4
"219",0,2,1,0,0,1,0,3,1,4
"220",0,3,0,0,1,0,1,3,0,3
"221",0,2,0,0,0,0,0,2,0,6
"222",0,4,0,0,2,0,2,5,0,7
"223",0,4,0,0,0,0,0,4,1,6
"224",0,2,0,0,1,0,1,4,0,4
"225",0,2,0,0,1,0,1,3,0,4
"226",0,2,0,0,1,0,1,3,0,4
"227",0,3,0,0,0,0,0,4,0,9
"228",0,1,0,0,1,0,0,2,0,8
"229",0,3,0,0,0,0,0,6,0,7
"230",0,2,0,0,0,0,0,4,0,4
"231",0,2,0,0,1,0,0,3,0,2
"232",1,3,1,1,0,1,0,2,2,3
"233",0,1,0,0,0,0,0,2,0,3
"234",0,2,0,0,1,0,1,2,0,3
"235",1,3,0,1,1,0,1,4,0,5
"236",0,3,0,0,1,0,0,4,0,6
"237",0,6,0,2,3,0,2,6,1,8
"238",0,2,0,0,0,0,0,4,0,5
"239",0,1,0,0,1,0,0,6,0,5
"240",0,3,0,0,2,0,2,3,0,8
"241",0,0,0,0,0,0,0,3,0,4
"242",0,1,0,0,1,0,0,2,0,4
"243",1,4,0,1,0,0,0,3,2,6
