"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"284",2,11,2,3,8,2,1,20,5,33
"285",5,10,0,4,8,6,5,21,9,40
"286",0,9,0,3,7,0,2,17,3,40
"287",2,17,2,5,11,2,2,27,7,48
"288",1,10,1,0,10,2,5,32,4,52
"289",2,17,2,5,11,2,2,27,7,49
"290",3,15,3,3,8,3,2,25,8,41
"291",2,12,3,4,8,5,1,26,11,34
"292",2,13,1,5,8,2,4,22,7,42
"293",3,22,0,4,17,2,7,34,9,68
"294",3,9,2,4,7,3,1,27,7,42
"295",4,19,3,3,10,4,1,24,9,41
"296",1,4,0,0,5,0,2,11,1,20
"297",0,13,0,3,9,0,6,21,3,43
"298",3,13,2,3,8,4,7,22,7,42
"299",2,16,2,4,10,2,2,26,6,47
"300",3,11,1,2,6,4,2,19,7,34
"301",2,16,2,5,13,3,3,26,6,44
"302",0,12,0,3,6,0,4,17,2,31
"303",2,9,0,2,3,3,3,20,8,41
"304",4,21,2,5,13,5,3,29,9,45
"305",3,14,2,3,6,3,1,31,7,42
"306",2,11,0,3,5,4,4,25,10,47
"307",3,12,0,6,8,5,3,24,9,43
"308",3,20,1,3,13,4,4,43,10,68
"309",6,22,5,6,17,5,6,38,12,52
"310",2,17,2,5,11,2,2,27,7,48
"311",4,14,4,4,8,4,3,24,10,40
"312",3,16,3,4,8,4,2,23,7,35
"313",3,15,3,3,13,5,3,41,9,63
"314",3,9,2,3,7,5,2,16,5,33
"315",3,11,0,4,7,2,4,23,7,39
"316",5,16,3,8,14,6,1,37,9,55
"317",4,9,2,6,6,4,1,23,9,37
"318",0,9,0,1,6,2,2,16,2,27
"319",3,13,2,4,11,4,1,24,7,41
"320",1,16,0,2,11,2,7,26,5,59
"321",3,22,3,8,11,3,2,30,8,51
"322",3,18,2,4,11,4,2,22,6,36
"323",3,13,2,5,9,4,1,31,11,45
"324",2,11,0,3,8,2,5,17,5,30
"325",4,12,3,4,10,4,1,38,8,54
"326",3,9,2,4,7,3,1,27,7,42
"327",1,5,0,1,4,1,2,15,7,24
"328",5,16,3,8,14,6,1,37,9,55
"329",2,13,1,4,9,3,2,19,8,28
"330",0,5,0,0,2,0,0,5,3,12
"331",3,17,2,3,13,2,4,37,9,53
"332",1,25,0,3,20,2,8,36,9,69
"333",2,14,2,2,7,3,1,18,5,29
"334",6,13,2,8,14,5,3,36,15,53
"335",2,16,1,2,10,1,3,22,4,42
"336",1,8,1,1,6,0,1,15,4,26
"337",10,20,5,10,17,8,5,38,18,59
"338",3,9,2,7,9,3,2,20,8,35
"339",3,13,3,3,13,4,0,30,8,44
"340",2,17,3,4,11,3,5,29,8,46
"341",4,10,2,3,6,2,1,22,10,32
"342",2,8,1,2,6,3,2,20,5,33
"343",0,14,0,3,7,0,3,21,2,39
"344",2,10,1,2,7,2,1,17,6,37
"345",0,12,0,3,8,0,2,17,3,38
"346",1,12,1,5,7,3,1,22,8,37
"347",2,12,0,6,6,3,3,23,5,41
"348",2,17,0,5,12,3,5,21,5,43
"349",2,6,1,2,4,3,1,15,5,31
"350",2,12,2,2,9,2,1,26,5,42
"351",2,16,0,7,13,2,6,31,11,51
"352",6,16,3,7,12,3,1,28,11,41
"353",9,13,6,10,8,6,2,23,14,35
"354",5,15,3,3,10,3,4,29,8,43
"355",5,23,0,6,19,5,8,35,12,66
"356",3,10,1,2,10,1,6,16,6,33
"357",2,11,1,3,5,3,3,15,4,32
"358",2,8,2,3,8,4,2,20,7,32
"359",5,14,3,6,8,4,1,29,10,43
